id;Описание;Размер;запас;запас;Артикул белого;Цена белого;из текст;запас;Артикул серого;Цена серого;из текст;запас;Артикул серого;Цена черного;из текст;запас;;;
;;;;;m_8;;;;m_7;;;;m_38;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
200;Глубокая полка;22############;;;5;590;белый;;L9711GA;90;серый;;L9711BL;90;черный;;;;
201;201 Связь ;22############;111;;5;590;белый;;L9711GA;90;серый;;L9711BL;90;черный;;;;
202;202 Связь ;22############;222;;5;590;белый;;L9711GA;90;серый;;L9711BL;90;черный;;;;
203;203 Связь ;22############;333;;5;590;белый;;L9711GA;90;серый;;L9711BL;90;черный;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
204;204 Железяка для плдки .._58;22############;666;;5;590;белый;;L9711GA;90;серый;;L9711BL;90;черный;;;;
;;;;;;;;;;;;;;;;;;;
14;Стойки;неужны для цвета;;;;0;0;0;0;0;0;0;0;0;0;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
colorNew;;;;;m_39;;;;m_40;;;;m_41;;;;m_42;;
186;Не важно;Не важно;111;;0;Не важно;0;;Не важно;0;Не важно;;Не важно;Не важно;Не важно;;Не важно;Не важно;Не важно
197;197 Связь 50_58;113х13х12 мм4;555;;еуцецуке;999390;белый;;L9711GA;90;серый;;L9711BL;90;черный;;L9711BL;90;черный
198;198 Связь 75_58;113х13х12 мм5;666;;4;490;белый;;L9711GA;90;серый;;L9711BL;90;черный;;L9711BL;90;черный
199;199 Связь 100_58;113х13х12 мм6;7777;;5;590;белый;;L9711GA;90;серый;;L9711BL;90;черный;;L9711BL;90;черный
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
209;Полка дианмичная;113х13х12 мм6;7777;;5;590;белый;;L9711GA;90;серый;;L9711BL;90;черный;;L9711BL;90;черный
218;218 Связь 50_58;113х13х12 мм4;555;;3;390;белый;;L9711GA;90;серый;;L9711BL;90;черный;;L9711BL;90;черный
219;219 Связь 75_58;113х13х12 мм5;666;;4;490;белый;;L9711GA;90;серый;;L9711BL;90;черный;;L9711BL;90;черный
220;220 Связь 100_58 ;113х13х12 мм6;7777;;5;590;белый;;L9711GA;90;серый;;L9711BL;90;черный;;L9711BL;90;черный
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
212;212 Держалка перила;113х13х12 мм6;7777;22;5;590;белый;;L9711GA;90;серый;;L9711BL;90;черный;;L9711BL;90;черный
